# number of detected SNeII per unit of redshift interval 
#  z_sim 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
2.123418984e-02 2.031208582e+00 2.326184892e+00 2.563065234e+00
2.130801278e-02 2.045720891e+00 2.343785734e+00 2.581243850e+00
2.138184519e-02 2.060289252e+00 2.361464280e+00 2.599491291e+00
2.145568561e-02 2.074913423e+00 2.379220305e+00 2.617807242e+00
2.152953290e-02 2.089593220e+00 2.397053650e+00 2.636191462e+00
2.160338706e-02 2.104328685e+00 2.414964434e+00 2.654643993e+00
2.167725136e-02 2.119120517e+00 2.432953574e+00 2.673165700e+00
2.175112302e-02 2.133968204e+00 2.451020514e+00 2.691755932e+00
2.182500155e-02 2.148871691e+00 2.469165255e+00 2.710414609e+00
2.189888711e-02 2.163831054e+00 2.487387955e+00 2.729141814e+00
2.197278315e-02 2.178847033e+00 2.505689585e+00 2.747938467e+00
2.204668607e-02 2.193918946e+00 2.524069377e+00 2.766803700e+00
2.212059587e-02 2.209046834e+00 2.542527450e+00 2.785737555e+00
2.219451334e-02 2.224230903e+00 2.561064121e+00 2.804740278e+00
2.226844066e-02 2.239471644e+00 2.579680059e+00 2.823812477e+00
2.234237487e-02 2.254768494e+00 2.598374640e+00 2.842953432e+00
2.241631597e-02 2.270121495e+00 2.617147983e+00 2.862163187e+00
2.249026536e-02 2.285530982e+00 2.636000565e+00 2.881442151e+00
2.256422399e-02 2.300997198e+00 2.654932751e+00 2.900790617e+00
2.263818951e-02 2.316519699e+00 2.673944062e+00 2.920208018e+00
2.271216194e-02 2.332098526e+00 2.693034617e+00 2.939694397e+00
2.278614325e-02 2.347734145e+00 2.712205052e+00 2.959250324e+00
2.286013322e-02 2.363426550e+00 2.731455428e+00 2.978875783e+00
2.293413010e-02 2.379175416e+00 2.750785412e+00 2.998570354e+00
2.300813388e-02 2.394980785e+00 2.770195122e+00 3.018334081e+00
2.308214713e-02 2.410843251e+00 2.789685354e+00 3.038167697e+00
2.315616847e-02 2.426762562e+00 2.809255866e+00 3.058070874e+00
2.323019672e-02 2.442738510e+00 2.828906468e+00 3.078043342e+00
2.330423188e-02 2.458771138e+00 2.848637279e+00 3.098085144e+00
2.337827709e-02 2.474861170e+00 2.868449256e+00 3.118197174e+00
2.345232982e-02 2.491008104e+00 2.888341850e+00 3.138378795e+00
2.352638948e-02 2.507211853e+00 2.908315019e+00 3.158629887e+00
2.360045605e-02 2.523472458e+00 2.928368880e+00 3.178950492e+00
2.367453322e-02 2.539790773e+00 2.948504551e+00 3.199341664e+00
2.374861738e-02 2.556166051e+00 2.968721178e+00 3.219802459e+00
2.382270846e-02 2.572598320e+00 2.989018864e+00 3.240332904e+00
2.389680694e-02 2.589087727e+00 3.009397853e+00 3.260933169e+00
2.397091562e-02 2.605634942e+00 3.029859043e+00 3.281604083e+00
2.404503123e-02 2.622239285e+00 3.050401656e+00 3.302344782e+00
2.411915378e-02 2.638900797e+00 3.071025812e+00 3.323155309e+00
2.419328424e-02 2.655619740e+00 3.091731901e+00 3.344035982e+00
2.426742439e-02 2.672396565e+00 3.112520547e+00 3.364987351e+00
2.434157149e-02 2.689230695e+00 3.133391102e+00 3.386008685e+00
2.441572553e-02 2.706122173e+00 3.154343684e+00 3.407100027e+00
2.448988797e-02 2.723071376e+00 3.175378828e+00 3.428261838e+00
2.456405963e-02 2.740078535e+00 3.196496888e+00 3.449494394e+00
2.463823824e-02 2.757143178e+00 3.217697341e+00 3.470797096e+00
2.471242380e-02 2.774265348e+00 3.238980310e+00 3.492169987e+00
2.478661824e-02 2.791445535e+00 3.260346467e+00 3.513613667e+00
2.486082143e-02 2.808683754e+00 3.281795900e+00 3.535128146e+00
2.493503158e-02 2.825979637e+00 3.303328213e+00 3.556712950e+00
2.500924869e-02 2.843333225e+00 3.324943528e+00 3.578368123e+00
2.508347514e-02 2.860745122e+00 3.346642660e+00 3.600094407e+00
2.515770989e-02 2.878215130e+00 3.368425429e+00 3.621891542e+00
2.523195161e-02 2.895742980e+00 3.390291566e+00 3.643759184e+00
2.530620030e-02 2.913328716e+00 3.412241191e+00 3.665697376e+00
2.538045877e-02 2.930973051e+00 3.434275260e+00 3.687706997e+00
2.545472511e-02 2.948675576e+00 3.456393330e+00 3.709787526e+00
2.552899843e-02 2.966436124e+00 3.478595256e+00 3.731938743e+00
2.560327872e-02 2.984254739e+00 3.500881159e+00 3.754160692e+00
