# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
1.659902832e-02 2.282140925e+02 2.543526822e+02 2.889096788e+02
1.667236236e-02 2.302594791e+02 2.567461867e+02 2.914840045e+02
1.674570314e-02 2.323143933e+02 2.591522852e+02 2.940701233e+02
1.681905065e-02 2.343788405e+02 2.615709963e+02 2.966680403e+02
1.689240598e-02 2.364528571e+02 2.640023752e+02 2.992777997e+02
1.696577080e-02 2.385364960e+02 2.664464962e+02 3.018994660e+02
1.703914236e-02 2.406296853e+02 2.689032873e+02 3.045329468e+02
1.711252065e-02 2.427324302e+02 2.713727671e+02 3.071782472e+02
1.718590772e-02 2.448447949e+02 2.738550233e+02 3.098354459e+02
1.725930333e-02 2.469667791e+02 2.763500678e+02 3.125045406e+02
1.733270569e-02 2.490983363e+02 2.788578585e+02 3.151854711e+02
1.740611480e-02 2.512394720e+02 2.813784142e+02 3.178782426e+02
1.747953361e-02 2.533902784e+02 2.839118554e+02 3.205829689e+02
1.755296005e-02 2.555507009e+02 2.864581307e+02 3.232995797e+02
1.762639325e-02 2.577207193e+02 2.890172282e+02 3.260280478e+02
1.769983323e-02 2.599003398e+02 2.915891676e+02 3.287683790e+02
1.777328376e-02 2.620896807e+02 2.941741010e+02 3.315207204e+02
1.784674106e-02 2.642886348e+02 2.967719141e+02 3.342849354e+02
1.792020512e-02 2.664972077e+02 2.993826257e+02 3.370610289e+02
1.799367686e-02 2.687154325e+02 3.020062871e+02 3.398490408e+02
1.806715827e-02 2.709433756e+02 3.046429895e+02 3.426490529e+02
1.814064645e-02 2.731809549e+02 3.072926478e+02 3.454609599e+02
1.821414140e-02 2.754281758e+02 3.099552808e+02 3.482847670e+02
1.828764491e-02 2.776850987e+02 3.126309721e+02 3.511205481e+02
1.836115723e-02 2.799517376e+02 3.153197509e+02 3.539683190e+02
1.843467632e-02 2.822280357e+02 3.180215618e+02 3.568280063e+02
1.850820219e-02 2.845139984e+02 3.207364236e+02 3.596996151e+02
1.858173748e-02 2.868097135e+02 3.234644528e+02 3.625832540e+02
1.865528073e-02 2.891151420e+02 3.262056154e+02 3.654788719e+02
1.872883076e-02 2.914302526e+02 3.289598864e+02 3.683864278e+02
1.880238758e-02 2.937550508e+02 3.317272845e+02 3.713059266e+02
1.887595466e-02 2.960896524e+02 3.345079596e+02 3.742375119e+02
1.894952887e-02 2.984339644e+02 3.373018136e+02 3.771810653e+02
1.902310988e-02 3.007879816e+02 3.401088522e+02 3.801365781e+02
1.909669815e-02 3.031517247e+02 3.429291124e+02 3.831040747e+02
1.917029656e-02 3.055252917e+02 3.457627233e+02 3.860836760e+02
1.924390176e-02 3.079085814e+02 3.486095763e+02 3.890752533e+02
1.931751376e-02 3.103015992e+02 3.514696901e+02 3.920788115e+02
1.939113385e-02 3.127043926e+02 3.543431335e+02 3.950944083e+02
1.946476326e-02 3.151170084e+02 3.572299748e+02 3.981221006e+02
1.953839948e-02 3.175393700e+02 3.601301345e+02 4.011617903e+02
1.961204251e-02 3.199714829e+02 3.630436313e+02 4.042134827e+02
1.968569441e-02 3.224134212e+02 3.659705661e+02 4.072772686e+02
1.975935486e-02 3.248651802e+02 3.689109456e+02 4.103531405e+02
1.983302213e-02 3.273267081e+02 3.718647198e+02 4.134410315e+02
1.990669622e-02 3.297980106e+02 3.748319074e+02 4.165409467e+02
1.998037995e-02 3.322791884e+02 3.778126417e+02 4.196530108e+02
2.005407147e-02 3.347701852e+02 3.808068672e+02 4.227771512e+02
2.012776981e-02 3.372709742e+02 3.838145638e+02 4.259133322e+02
2.020147499e-02 3.397815608e+02 3.868357500e+02 4.290615592e+02
2.027519056e-02 3.423020732e+02 3.898705922e+02 4.322219905e+02
2.034891317e-02 3.448324025e+02 3.929189717e+02 4.353944883e+02
2.042264262e-02 3.473725473e+02 3.959808985e+02 4.385790484e+02
2.049637943e-02 3.499225311e+02 3.990564132e+02 4.417756987e+02
2.057012633e-02 3.524824549e+02 4.021456498e+02 4.449845639e+02
2.064388007e-02 3.550522117e+02 4.052484912e+02 4.482055081e+02
2.071764066e-02 3.576318072e+02 4.083649564e+02 4.514385364e+02
2.079140932e-02 3.602212905e+02 4.114951166e+02 4.546837084e+02
2.086518737e-02 3.628207136e+02 4.146390468e+02 4.579410876e+02
2.093897226e-02 3.654299930e+02 4.177966584e+02 4.612105674e+02
2.101276401e-02 3.680491345e+02 4.209679700e+02 4.644921530e+02
2.108656454e-02 3.706782126e+02 4.241530840e+02 4.677859361e+02
2.116037376e-02 3.733172302e+02 4.273520161e+02 4.710919184e+02
2.123418984e-02 3.759661275e+02 4.305647059e+02 4.744100231e+02
2.130801278e-02 3.786249102e+02 4.337911721e+02 4.777402555e+02
2.138184519e-02 3.812936785e+02 4.370315485e+02 4.810827391e+02
2.145568561e-02 3.839723860e+02 4.402857907e+02 4.844374139e+02
2.152953290e-02 3.866609966e+02 4.435538670e+02 4.878042330e+02
2.160338706e-02 3.893595161e+02 4.468357962e+02 4.911832015e+02
